"q00_id","q01_num_hijos","q02a_birth_child","q02b_birth_child","q02c_birth_child","q02d_birth_child","q03_help","q04_excedencia_all","q05_duration_child","q06_duration_child","q07_duration_child","q08_main_reason","q09a_secondary_reason","q09b_secondary_reason","q09c_secondary_reason","q09d_secondary_reason","q10_diff_reasons","q11_other_ask","q12_other_not_reason","q13a_conciliation_opts","q13b_conciliation_opts","q13c_conciliation_opts","q14_company_reaction","q15_mates_reaction","q16_formation_time","q17_work_during","q18_back_work","q19_tasks_after","q20_current_tasks","q21_excedencia_general_evaluation","q22_excedencia_needs_improvements","q23_excedencia_specify_improvements","q24_conciliation_general_evaluation","q25_conciliation_needs_improvements","q26_conciliation_specify_improvements","q27_experience_description","q28_comments","q29_age","q29_genre","q31_civil_status","q32_education","q33_job","q34_contract","q35_salary","origen"
1,"1",2013,NA,NA,NA,"No, no cuento con nadie más","si","","","","Quería dedicarme por completo a mi/s hijo/s",NA,NA,NA,NA,"","no","otros: No","Reducción de jornada",NA,NA,"Indiferencia","Indiferencia","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","Estoy en el mismo puesto o en otro similar",6,"No, considero que funciona bien.","",4,"Sí, creo que necesita alguna mejora.","","","",1980,"Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","No lo recuerdo","new"
2,"2",2013,2015,NA,NA,"Sí, una persona contratada nos ayuda a cuidar del hijo/s","no","24 segundo","","","Mi puesto de trabajo no permitía la conciliación con la vida familiar ","Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”)","Salud de la madre (posparto complicado, etc.)",NA,NA,"","no","otros: Decidimos que era mejor que la tomara solo yo","No facilita ninguna de estas opciones",NA,NA,"Hostilidad","Comprensión","No, recurrí a una escuela infantil/cuidador/similar para tener tiempo","Realicé algún trabajo sin contrato","La excedencia no ha acabado aún","otros: No aplica","otros: No aplica",3,"Sí, creo que necesita alguna mejora.","",2,"Sí, creo que necesita alguna mejora.","","","",1987,"Mujer","Casado/a","Formación profesional ","Trabajo en el sector privado","Indefinido","Entre 15.001 y 25.000 euros","new"
3,"2",2013,2015,NA,NA,"Sí, una persona contratada nos ayuda a cuidar del hijo/s","no","24 segundo hijo","","","No tenía una opción real de adaptar la jornada a mis necesidades familiares ","Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”)","Mi puesto de trabajo no permitía la conciliación con la vida familiar ","Salud de la madre (posparto complicado, etc.)",NA,"","no","otros: Decidimos que era mejor que la tomara yo por una cuestión laboral","No facilita ninguna de estas opciones",NA,NA,"Hostilidad","Comprensión","No, recurrí a una escuela infantil/cuidador/similar para tener tiempo","Realicé algún trabajo sin contrato","La excedencia no ha acabado aún","otros: No aplica","otros: No aplica",2,"Sí, creo que necesita alguna mejora.","Con un permiso de paternidad y maternidad de doce meses cada uno no haría falta la figura de la excedencia",1,"Sí, creo que necesita alguna mejora.","Permiso de paternidad y maternidad de doce meses cada uno","La excedencia es un mal menor, un fallo del sistema, pero también una oportunidad ","",1978,"Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Entre 15.001 y 25.000 euros","new"
4,"1",2007,NA,NA,NA,"No, no cuento con nadie más","si","36","","","Mi puesto de trabajo no permitía la conciliación con la vida familiar ","No tenía una opción real de adaptar la jornada a mis necesidades familiares ",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","No facilita ninguna de estas opciones",NA,NA,"Hostilidad","otros: Sorpresa ","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Salí del mercado laboral","otros: Cambio radical ","otros: Muy diferente,  monté una empresa",2,"Sí, creo que necesita alguna mejora.","",4,"Sí, creo que necesita alguna mejora.","Educar y concienciar para conseguir el apoyo del entorno","","Que no está igual visto por la sociedad coger una excedencia siendo hombre o mujer. En mi caso, siendo hombre, el entorno a veces reacciona de coordinando sorpresa e incomprensión.",1969,"Hombre","Vivo en pareja","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo por cuenta propia","otros: Autónomo ","Entre 25.001 y 30.000 euros ","new"
5,"2",2010,2017,NA,NA,"No, no cuento con nadie más","no","De momento he cogido 5 meses de excedencia con mi segundo hijo.","No es mi caso.","No es mi caso.","No contaba con ayuda externa de familiares","Para organizarme con un nuevo miembro en la familia y una vez haya conseguido esto volveré a trabajar. Después intentaré conciliar la vida laboral con la familiar, a ver si lo consigo.",NA,NA,NA,"No es mi caso.","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario","Reducción de jornada",NA,"Indiferencia","Comprensión","otros: En principio puedo hacer cursos de formación pero al no estar trabajando no puedo enterarme de los diversos cursos que se imparten.","No","otros: Todavía no he vuelto. De momento no puedo contestar.","otros: Todavía no he vuelto. De momento no puedo contestar. Pero supongo que haré el mismo trabajo.","otros: Todavía no he vuelto. De momento no puedo contestar.",4,"Sí, creo que necesita alguna mejora.","Cuando vuelva a trabajar puede que tenga una respuesta más clara a esta pregunta ya que puede que tenga alguna repercusión.",4,"otros: Creo que se promociona mucho pero no se hace lo que se dice.","","A falta de la reincorporación laboral, de momento, diría que positiva. En el momento de solicitarla no me pusieron trabas.","De momento no.",1973,"Mujer","Vivo en pareja","Formación profesional ","Trabajo en el sector público","Indefinido","Entre 15.001 y 25.000 euros","new"
6,"4",2012,2015,NA,NA,"otros: Abuelos participan y persona contratada","si","Primer hijo, 11 meses","Resto de hijos, 9 meses","No, ninguna más","Quería dedicarme por completo a mi/s hijo/s","No tenía una opción real de adaptar la jornada a mis necesidades familiares ","Quería dedicarme por completo a mi/s hijo/s",NA,NA,"El segundo parto fue múltiple. No dábamos abasto y, además, no dormía ni un minuto.","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Reducción de jornada",NA,NA,"Hostilidad","otros: En general, opinaban que podría haberme incorporado y que otros se hubieran dedicado a mis hijos. Me sentía rara y mal a veces, ante las reacciones y comentarios de algunas personas. La sociedad ""demoniza"" en cierto modo a las madres que no se ajustan a lo que hoy se considera la norma: independencia, volcada en el trabajo, etc.","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","otros: Realizo la misma actividad, pero no puedo estar a la altura de mis compañeros sin familia. Pueden dedicarse más, se forman más , pueden viajar,... La Dirección cuenta más con ellos y, en caso de surgir un puesto, prefieren a personas sin cargas familiares.","",4,"otros: Debería haber más facilidades, compensación a las empresas y trabajar a nivel social en la importancia de dedicarse a los hijos cuando más te necesitan.","Dicho en el punto anterior.",3,"Sí, creo que necesita alguna mejora.","Dicho anteriormente","Oro para mis hijos, plenitud para mi, complicaciones laborales.","",1980,"Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","No lo recuerdo","new"
7,"2",2007,2010,NA,NA,"Sí, una persona contratada nos ayuda a cuidar del hijo/s","si","1r hijo, 14 meses","2º hijo, 4 meses","","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado","Siendo profesora, prefería reincorporarme en septiembre. Con mi primera hija, como madre primeriza, a los 4 meses y medio me parecía una locura volver a un trabajo que t absorbe casi las 24 horas del día.  Me veía muy 'verde'. Esto me hacía sufrir porque estaba también dando pecho y lo veía inviable con volver a trabajar. Por otra parte, empecé a participar con mi matrona en el centro de salud en el taller de lactancia y me empapé de paz y amor a la crianza. No quería romper de pronto y tan pronto con esto. Otro motivones que, afortunadamente y no sé aún cómo, me lo pude permitir (14 meses sin cobrar!)",NA,NA,"Con mi segundo hijo ya me pilló más entrenada y a sus 8 meses me ví preparada para colver en septiembre a mi trabajo de profesora. ","no","No nos planteamos esa opción","En el ámbito escolar, a los profes se nos ofrecen X horas de lactancia al día o juntarlas todas que suman un mes más de baja. ",NA,NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","Es de mayor rango ",5,"Sí, creo que necesita alguna mejora.","No para mi ámbito profesional. Tuve suerte. Supongo que propondía la misma garantía y seguridad que yo tuve para todos los sectores laborales. ",1,"Sí, creo que necesita alguna mejora.","Si existiese un buen sistema de conciliación familiar, mi excedencia primera no hubiera sido tan larga. Creo que en este tipo de excedencia, el trabajador no debería perder todo el salario. ","Si uno se lo puede permitir, muy recomendable. 
Se trata de vivir al 100% una parte de tu vida y la primera parte de la vida de tu hijo. 
Momentos  únicos, irrepetible","",1976,"Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 15.001 y 25.000 euros","new"
8,"2",2011,NA,NA,NA,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s","si","9 meses","Fue a la vez (mellizos)","No","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"No","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario","Reducción de jornada",NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","Es de mayor rango ",3,"Sí, creo que necesita alguna mejora.","La implantación del aumento del permiso por maternidad remunerado. No todas las familias pueden permitirse quedarse sin un sueldo durante meses. Además, al principio los bebés tienen muchos gastos.",2,"Sí, creo que necesita alguna mejora.","Mayor flexibilidad horaria, jornadas más cortas, apoyo a carrera profesional, apoyo económico","Feliz , ruinosa, útil ","En realidad necesitamos aumento del permiso de maternidad remunerado como en el norte de Europa. Esto es un apaño que tiene un coste económico muy alto para las familias. ",1973,"Mujer","Vivo en pareja","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 25.001 y 30.000 euros ","new"
9,"2",2015,2017,NA,NA,"Sí, una persona contratada nos ayuda a cuidar del hijo/s","no","1 mes, segundo hijo ","","","otros: Pedí la excedencia para acompañar al bebé a la escuela en su periodo de adaptación ",NA,NA,NA,NA,"","no","otros: No era necesario ","Reducción de jornada",NA,NA,"Comprensión","Indiferencia","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","La excedencia no ha acabado aún","otros: Aún no he acabado pero volveré a mi puesto normal ","",1,"otros: Considero que la excedencia por cuidado de hijo está sustituyendo el derecho a una baja por maternidad y por paternidad de mayor duración, que es necesaria. ","",1,"Sí, creo que necesita alguna mejora.","Bajas por maternidad y paternidad de seis meses, intransferibles e iguales.
Horarios flexibles y opción de teletrabajo en puestos que lo permitan.
Jornadas de oficina con límite horario a las 17:00 salvo necesidades especiales.
","Injusta, insuficiente, económicamente inviable ","",1976,"Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 30.001 y 50.000 euros ","new"
10,"2",2013,2016,NA,NA,"No, no cuento con nadie más","no","4 mesed","","","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"Como después de la primera excedencia perdí mi puesto, con el segundo hijo no la solicité","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario","Reducción de jornada",NA,"Indiferencia","Indiferencia","Sí, compaginé el cuidado del hijo con formación / actividades para estar al día en mi profesión.","No","Cambié de puesto","Realicé trabajos de menor responsabilidad ","Es de menor rango ",5,"Sí, creo que necesita alguna mejora.","No hacer cambios de puesto tras la excedencia a no ser que la trabajadora lo solicite",5,"Sí, creo que necesita alguna mejora.","","agridulce","",1979,"Mujer","Casado/a","Doctorado","Trabajo en el sector privado","Indefinido","Entre 15.001 y 25.000 euros","new"
